# fn	src	match%	class
fightSideGetStatus	src/game/pokemon.c	99.82	MAYBE
fn_80194510	src/hsd/hsd_cobj.c	99.5	OPT
fn_800E3604	src/game/gs_material.c	99.37	OPT
fn_801DA9E8	src/game/battle/battle_waza.c	99.29	OPT
fn_801FEF74	src/game/trainer.c	99.25	MAYBE
fn_80228DAC	src/game/colosseum_script.c	99.18	MAYBE
fn_80214B68	src/game/colosseum_script.c	98.95	MAYBE
fn_800DAF60	src/game/gs_render.c	98.53	OPT
fn_8021847C	src/game/colosseum_script.c	98.46	MAYBE
fn_800218BC	src/game/gs_title.c	98.35	OPT
fn_8000C824	src/game/gs_party_access.c	98.33	OPT
fn_8000C92C	src/game/gs_party_access.c	98.33	OPT
fn_8021C308	src/game/colosseum_script.c	98.32	MAYBE
fn_8023CE60	src/game/colosseum_script.c	98.26	OPT
fn_8023CFDC	src/game/colosseum_script.c	98.26	MAYBE
fn_801D2080	src/game/battle/battle_waza.c	98.22	OPT
fn_80200E00	src/game/colosseum_script.c	97.98	OPT
fn_80200B10	src/game/colosseum_script.c	97.87	OPT
fn_802389D4	src/game/colosseum_script.c	97.76	MAYBE
fn_8021E754	src/game/colosseum_script.c	97.64	MAYBE
fn_8002537C	src/game/gs_title.c	97.1	OPT
fn_80025490	src/game/gs_title.c	97.1	OPT
fn_80029FAC	src/game/gs_worldmap.c	97.01	OPT
fn_8002A1C4	src/game/gs_worldmap.c	96.97	OPT
fn_8002A2CC	src/game/gs_worldmap.c	96.97	OPT
fn_80229C90	src/game/colosseum_script.c	96.28	MAYBE
fn_80212D6C	src/game/colosseum_script.c	96.16	MAYBE
fn_80216410	src/game/colosseum_script.c	95.75	MAYBE
fn_800263B0	src/game/gs_worldmap.c	95.56	OPT
fn_8000BFA0	src/game/gs_party_access.c	95.04	OPT
fn_80222ADC	src/game/colosseum_script.c	95.0	MAYBE
fn_800BD91C	src/dolphin/gx/GXInit.c	94.9	OPT
fn_8000DEC4	src/game/gs_npc_interact.c	94.77	OPT
fn_80114AE0	src/game/gs_field_resource.c	94.55	OPT
fn_800E4170	src/game/gs_material.c	94.3	OPT
fn_800E8EFC	src/game/gs_material.c	92.9	OPT
fn_801D1FA8	src/game/battle/battle_waza.c	89.91	OPT
fn_800E8FA0	src/game/gs_material.c	88.9	OPT
fn_801DA5C4	src/game/battle/battle_waza.c	83.4	MAYBE
fn_80162FB0	src/game/people/people_field.c	78.3	MAYBE
fn_801A6DDC	src/hsd/hsd_mobj.c	77.8	OPT
fn_800A47AC	src/dolphin/dvd/DVDLow.c	56.88	MAYBE
fn_8002A0B8	src/game/gs_worldmap.c	0.0	OPT
fn_8020B330	src/game/colosseum_event.c	0.0	OPT
fn_8020341C	src/game/colosseum_event.c	0.0	OPT
fn_8020EED4	src/game/colosseum_event.c	0.0	OPT
